parental genotype,generation,dob,exposure,concentration (ug/L),transgene (Y/N),plate,well,hatched (dpf),missing,mortality (dpf),deformity (dpf),heart rate (bpm),"1dpf Mean [GFP 469,525]","1dpf Min [GFP 469,525]","1dpf Max [GFP 469,525]","1dpf Std Dev [GFP 469,525]","1dpf CV [GFP 469,525]","1dpf Saturated Pixels Pct [GFP 469,525]","1dpf Total Intensity [GFP 469,525]","2dpf Mean [GFP 469,525]","2dpf Min [GFP 469,525]","2dpf Max [GFP 469,525]","2dpf Std Dev [GFP 469,525]","2dpf CV [GFP 469,525]","2dpf Saturated Pixels Pct [GFP 469,525]","2dpf Total Intensity [GFP 469,525]","3dpf Mean [GFP 469,525]","3dpf Min [GFP 469,525]","3dpf Max [GFP 469,525]","3dpf Std Dev [GFP 469,525]","3dpf CV [GFP 469,525]","3dpf Saturated Pixels Pct [GFP 469,525]","3dpf Total Intensity [GFP 469,525]","4dpf Mean [GFP 469,525]","4dpf Min [GFP 469,525]","4dpf Max [GFP 469,525]","4dpf Std Dev [GFP 469,525]","4dpf CV [GFP 469,525]","4dpf Saturated Pixels Pct [GFP 469,525]","4dpf Total Intensity [GFP 469,525]","5dpf Mean [GFP 469,525]","5dpf Min [GFP 469,525]","5dpf Max [GFP 469,525]","5dpf Std Dev [GFP 469,525]","5dpf CV [GFP 469,525]","5dpf Saturated Pixels Pct [GFP 469,525]","5dpf Total Intensity [GFP 469,525]","6dpf Mean [GFP 469,525]","6dpf Min [GFP 469,525]","6dpf Max [GFP 469,525]","6dpf Std Dev [GFP 469,525]","6dpf CV [GFP 469,525]","6dpf Saturated Pixels Pct [GFP 469,525]","6dpf Total Intensity [GFP 469,525]","7dpf Mean [GFP 469,525]","7dpf Min [GFP 469,525]","7dpf Max [GFP 469,525]","7dpf Std Dev [GFP 469,525]","7dpf CV [GFP 469,525]","7dpf Saturated Pixels Pct [GFP 469,525]","7dpf Total Intensity [GFP 469,525]","8dpf Mean [GFP 469,525]","8dpf Min [GFP 469,525]","8dpf Max [GFP 469,525]","8dpf Std Dev [GFP 469,525]","8dpf CV [GFP 469,525]","8dpf Saturated Pixels Pct [GFP 469,525]","8dpf Total Intensity [GFP 469,525]","9dpf Mean [GFP 469,525]","9dpf Min [GFP 469,525]","9dpf Max [GFP 469,525]","9dpf Std Dev [GFP 469,525]","9dpf CV [GFP 469,525]","9dpf Saturated Pixels Pct [GFP 469,525]","9dpf Total Intensity [GFP 469,525]","10dpf Mean [GFP 469,525]","10dpf Min [GFP 469,525]","10dpf Max [GFP 469,525]","10dpf Std Dev [GFP 469,525]","10dpf CV [GFP 469,525]","10dpf Saturated Pixels Pct [GFP 469,525]","10dpf Total Intensity [GFP 469,525]"
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,B4,3,,14,,,,,,,,,,2384,1,65504,3875,162.513,0.013,5296764330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039,1,65504,4333,212.542,0.016,4528428879,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,7,C1,3,,,,,,,,,,,,1398,1,17357,1144,81.839,0.012,3106492420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1628,1,43620,2354,144.665,0,3615315736,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,7,C2,3,,12,,,,,,,,,,2401,1,60575,3743,155.901,0,5332664680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,1,52587,3118,170.369,0,4065761273,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,7,C3,3,,14,,,,,,,,,,1761,1,15195,1184,67.247,0,3912606749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954,1,65504,5497,281.264,0.128,4341129040,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,7,C4,3,,,,,,,,,,,,2378,1,48419,3827,160.95,0,5282437011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338,1,65504,5837,249.691,0.126,5192771965,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,8,A1,3,,13,,,,,,,,,,2596,1,65504,2430,93.585,0.011,5767739266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609,1,65504,4889,303.868,0.107,3573661139,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,8,A2,3,,,,,,,,,,,,2320,1,26419,2387,102.886,0.006,5153174705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059,1,65504,5820,282.703,0.168,4572882227,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,8,A3,3,,,,,,,,,,,,2188,1,26770,1990,90.954,0,4860314560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822,1,65504,4881,267.908,0.083,4047073755,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,A4,3,,,,,,,,,,,,1985,1,20391,1228,61.859,0,4408384243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,8,B1,3,,14,,,,,,,,,,2963,1,39945,3887,131.163,0,6582233398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381,1,65504,5471,229.802,0.03,5288685870,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,B2,3,,,,,,,,,,,,2018,1,65504,2473,122.558,0.024,4482942010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,1,65504,6790,280.186,0.228,5383258662,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,B3,3,,14,,,,,,,,,,1905,1,17374,1236,64.902,0,4230868984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799,1,65504,8337,297.893,0.345,6217084109,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,B4,3,,11,,,,,,,,,,1622,1,20266,1278,78.764,0,3603206891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,M,8,C1,3,,,,,,,,,,,,2968,1,65504,4114,138.593,0.044,6593782229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,M,8,C2,3,,11,,,,,,,,,,2536,1,28143,2727,107.539,0.058,5632413503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459,1,65504,5769,234.61,0.135,5462374465,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,C3,3,,,,,,,,,,,,2726,1,34211,3763,138.047,0,6055407777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143,1,65504,8069,256.722,0.318,6982411708,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,8,C4,3,,,,,,,,,,,,3710,1,63338,5274,142.182,0.016,8240398239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567,1,65504,6770,263.722,0.236,5702492148,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,A1,3,,,,,,,,,,,,1656,1,15355,1330,80.301,0,3677931932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542,1,65504,8171,321.514,0.368,5645695455,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,A2,3,,13,,,,,,,,,,2303,1,57354,3361,145.959,0.013,5115907922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2515,1,65504,6817,271.051,0.229,5586990744,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,9,A3,3,,,,,,,,,,,,1847,1,65504,3342,180.923,0.009,4103355090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,1,65504,6759,280.724,0.227,5348261772,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,A4,3,,,,,,,,,,,,2613,1,50167,4164,159.375,0,5804289060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633,1,65504,6423,243.915,0.151,5849137183,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,9,B1,3,,,,,,,,,,,,2051,1,30898,2348,114.468,0,4556300584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2755,1,65504,7535,273.549,0.31,6119203568,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,B2,3,,14,,,,,,,,,,1644,1,29447,1491,90.698,0,3652221170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744,1,51833,2382,136.641,0,3872995639,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,9,B3,3,,,,,,,,,,,,2113,1,30000,3139,148.507,0,4694750881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2828,1,65504,6859,242.566,0.207,6281441174,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,B4,3,,14,,,,,,,,,,2375,1,28055,2919,122.9,0,5276667922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,C1,3,,,,,,,,,,,,1727,1,17555,1318,76.295,0,3836791987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339,1,65504,6590,281.686,0.222,5196653283,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,C2,4,,,,,,,,,,,,1880,1,18888,1257,66.879,0,4176285170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,1,65504,5806,291.704,0.136,4421419351,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,Y,9,C3,4,,,,,,,,,,,,2802,1,65504,4140,147.768,0,6223536058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2921,1,65504,7737,264.858,0.264,6488764419,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,9,C4,3,,13,,,,,,,,,,2457,1,41659,2740,111.496,0,5458081935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,1,65504,5046,225.725,0.101,4965539902,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,A1,3,,,,,,,,,,,,2644,1,42528,3345,126.538,0,5872837453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390,1,65504,7504,313.948,0.282,5309581313,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,10,A2,3,,12,,,,,,,,,,2343,1,42550,3932,167.807,0,5205500830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651,1,44839,2933,177.703,0,3667007511,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,A3,3,,,,,,,,,,,,1571,1,34998,2070,131.8,0,3489569371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830,1,65504,4476,244.631,0.05,4064302331,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,A4,3,,,,,,,,,,,,1581,1,24258,1292,81.689,0,3512341405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461,1,65504,6891,280.081,0.197,5465746777,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,10,B1,3,,,,,,,,,,,,2632,1,27890,3001,114.02,0,5846155445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2737,1,65504,6598,241.048,0.216,6080399824,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,B2,3,,,,,,,,,,,,1472,1,30398,1144,77.719,0,3269254961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748,1,65504,3558,203.519,0.004,3883679746,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,B3,3,,13,,,,,,,,,,1843,1,17082,1303,70.709,0,4093078233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2194,1,65504,6461,294.444,0.218,4874065720,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,B4,3,,14,,,,,,,,,,1890,1,20007,1319,69.803,0,4198996174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618,1,65504,3684,227.646,0.02,3594776408,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,10,C1,3,,,,,,,,,,,,1446,1,37007,1240,85.802,0,3211569457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,1,46933,2548,156.606,0,3613583615,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,10,C2,3,14,,,,,,,,,,,2579,1,33460,3347,129.811,0,5728264855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,1,65504,4855,194.905,0.065,5533686530,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,Y,10,C3,3,14,,,,,,,,,,,1798,1,29045,2540,141.274,0,3994371780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,1,65504,6218,252.085,0.179,5479191508,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,3.5,N,10,C4,3,,,,,,,,,,,,2024,1,36621,3431,169.462,0,4496898644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,A1,3,,12,,,,,,,,,,1709,1,50695,2181,127.618,0,3796026273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2255,1,65504,6945,308.041,0.242,5008264087,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,A2,3,,12,,,,,,,,,,1397,1,30897,1330,95.21,0,3103058098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335,1,65504,7147,306.156,0.257,5185942569,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,A3,3,12,,,,,,,,,,,1552,1,26782,2364,152.379,0,3446543181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1,65504,5721,286.069,0.125,4442186572,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,A4,3,,,,,,,,,,,,1911,1,28497,2536,132.692,0,4244971545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257,1,65504,5773,255.816,0.158,5012647931,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,B1,3,,,,,,,,,,,,1934,1,22679,1556,80.432,0,4296465697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1799,1,61624,3734,207.548,0,3996805590,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,B2,2,,12,8,,,,,,,,,2285,1,33330,3147,137.732,0,5075380765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,1,65504,2676,142.311,0.001,4177081575,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,B3,3,,,,,,,,,,,,2146,1,37407,3354,156.337,0,4766319175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,1,65504,4701,214.567,0.061,4867254776,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,B4,3,,,,,,,,,,,,2056,1,43622,3183,154.853,0,4566682317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338,1,65504,5928,253.519,0.146,5193953828,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,C1,4,,,,,,,,,,,,2174,1,37675,2843,130.789,0,4829229834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2524,1,65504,5973,236.632,0.165,5607405263,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,C2,3,,,,,,,,,,,,2652,1,36352,3735,140.823,0,5891813619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974,1,65504,7651,257.247,0.305,6607054167,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,Y,11,C3,3,,14,,,,,,,,,,1693,1,16220,1293,76.355,0,3761474434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,1,65504,4993,271.345,0.101,4087637279,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,35,N,11,C4,3,,,,,,,,,,,,1462,1,13307,1074,73.471,0,3248173470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,1,65504,6037,294.785,0.189,4549100847,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,A1,3,,,,,,,,,,,,2386,1,44259,2497,104.645,0.001,5301255483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,12,A2,3,,,,,,,,,,,,2564,1,43613,4235,165.161,0,5695933096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,A3,3,,14,,,,,,,,,,1879,1,19874,2335,124.3,0,4173377374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2326,1,65504,6427,276.276,0.191,5167703595,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,12,A4,3,,14,,,,,,,,,,1888,1,39046,2280,120.767,0,4193895228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338,1,65504,6391,273.327,0.214,5193927168,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,B1,3,,14,,,,,,,,,,2389,1,31740,3165,132.456,0,5307869832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2965,1,65504,8273,279.013,0.361,6586384441,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,,12,B2,3,,7,,,,,,,,,,2164,1,15852,1372,63.389,0,4807654444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,B3,3,,,,,,,,,,,,1808,1,36423,2126,117.606,0,4015332623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2690,1,65504,7509,279.109,0.309,5976600110,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,B4,3,,,,,,,,,,,,2030,1,29153,2350,115.768,0,4509135785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873,1,65504,3678,196.342,0.026,4161151461,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,12,C1,3,,13,,,,,,,,,,1975,1,32816,2536,128.375,0,4387845559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,1,65504,6045,250.287,0.156,5365332043,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,Y,12,C2,4,,,,,,,,,,,,1778,1,22986,1486,83.591,0,3948861085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,N,12,C3,3,,,,,,,,,,,,1810,1,38273,2331,128.755,0,4021783058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427,1,65504,6649,273.974,0.215,5390946291,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,350,M,12,C4,3,,,,,,,,,,,,2293,1,41181,3791,165.367,0,5092735397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2271,1,65504,5405,238.043,0.112,5044076616,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,13,A1,3,,12,,,,,,,,,,,,,,,,,1467,1,27496,2133,145.435,0,3258229852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,1,51254,3441,194.941,0,3921413727,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,A2,3,,,,,,,,,,,,,,,,,,,1623,1,40544,2163,133.243,0,3605484032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,1,65504,7191,285.303,0.254,5598872614,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,A3,3,13,,,,,,,,,,,,,,,,,,2811,1,44461,4298,152.934,0,6243194196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2524,1,65504,7375,292.184,0.238,5607245890,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,A4,3,,,,,,,,,,,,,,,,,,,2311,1,46987,2813,121.69,0,5134301123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,B1,3,,14,,,,,,,,,,,,,,,,,1594,1,65504,1403,88.021,0,3541416779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,B2,3,,13,,,,,,,,,,,,,,,,,1884,1,26928,2871,152.342,0,4185899290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,1,65504,6256,268.291,0.193,5179763325,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,B3,3,,13,,,,,,,,,,,,,,,,,2059,1,29503,3099,150.497,0,4574413212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939,1,65504,4185,215.818,0.031,4307555075,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,13,B4,3,,13,,,,,,,,,,,,,,,,,2180,1,30945,2839,130.231,0.005,4842904128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2479,1,65504,6366,256.735,0.172,5507867039,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,C1,3,,,,,,,,,,,,,,,,,,,1735,1,36248,1500,86.426,0,3854447235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,1,65504,5548,269.266,0.114,4576586138,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,Y,13,C2,3,,13,,,,,,,,,,,,,,,,,2106,1,57113,3141,149.167,0,4677190879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,13,C3,3,,,,,,,,,,,,,,,,,,,1619,1,32661,1584,97.88,0,3595784523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801,1,65504,7691,274.594,0.276,6221970465,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0,N,13,C4,3,,13,,,,,,,,,,,,,,,,,2212,1,31805,2572,116.283,0,4913133899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,1,65504,6775,248.641,0.2,6052604254,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,,14,A1,3,,6,,,,,,,,,,,,,,,,,2136,1,46244,2670,124.974,0.001,4745034348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,A2,3,,,,,,,,,,,,,,,,,,,1659,1,24726,1382,83.314,0,3685260177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583,1,65504,8106,313.842,0.371,5737734633,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,A3,3,,,,,,,,,,,,,,,,,,,2370,1,41747,3478,146.722,0,5265006950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,1,65504,6732,277.222,0.219,5394704509,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,A4,3,,,,,,,,,,,,,,,,,,,1613,1,65504,1835,113.753,0.018,3583182973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,B1,3,,12,,,,,,,,,,,,,,,,,2304,1,45590,2319,100.648,0,5117117880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,B2,3,,12,,,,,,,,,,,,,,,,,2017,1,29807,2815,139.53,0.02,4480915256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353,1,65504,5330,226.487,0.072,5227875019,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,,14,B3,3,,12,,,,,,,,,,,,,,,,,1645,1,20052,1530,92.961,0,3655261383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,14,B4,3,,,,,,,,,,,,,,,,,,,1872,1,52745,2034,108.658,0,4159201935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,1,65504,3503,188.48,0.006,4128338756,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,14,C1,3,,14,,,,,,,,,,,,,,,,,2134,1,31263,3268,153.178,0,4739546627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368,1,65504,5117,216.133,0.098,5259365573,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,N,14,C2,3,,12,,,,,,,,,,,,,,,,,1563,1,35340,1621,103.731,0,3471096138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088,1,44308,3280,157.084,0,4638604182,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,C3,3,,,,,,,,,,,,,,,,,,,2484,1,26904,3242,130.49,0,5518547255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,1,65504,5154,246.651,0.095,4642089121,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.035,Y,14,C4,3,,,,,,,,,,,,,,,,,,,1485,1,28303,1474,99.274,0,3298911509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2342,1,65504,7471,318.973,0.269,5203252921,,,,,,,,,,,,,,
TRAR11xAB,F2,2026-03-22,BPS,0.35,N,15,A1,3,,13,,,,,,,,,,,,,,,,,2401,1,41264,3971,165.337,0,5334641743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2634,1,65504,7724,293.204,0.336,5851625843,,,,,,,,,,,,,,
